,"Employment rate, 18-64 year olds %"
2022,
WHOLE COUNTRY,73.5
Akaa,76.1
Alajärvi,72.1
Alavieska,75.1
Alavus,74.1
Asikkala,73.3
Askola,80.6
Aura,81.5
Brändö,81.7
Eckerö,79.4
Enonkoski,71.4
Enontekiö,73.2
Espoo,75.2
Eura,77.1
Eurajoki,77.8
Evijärvi,76.1
Finström,81.3
Forssa,70.5
Föglö,80
Geta,76.8
Haapajärvi,73.9
Haapavesi,73.8
Hailuoto,76.5
Halsua,77.1
Hamina,71.3
Hammarland,82.6
Hankasalmi,71.4
Hanko,75.4
Harjavalta,71.4
Hartola,68.1
Hattula,80.3
Hausjärvi,78.5
Heinola,68
Heinävesi,67.7
Helsinki,73.2
Hirvensalmi,70.6
Hollola,77.8
Huittinen,77
Humppila,73.9
Hyrynsalmi,64.7
Hyvinkää,75.7
Hämeenkyrö,76.3
Hämeenlinna,73.3
Ii,71.7
Iisalmi,70.8
Iitti,73.4
Ikaalinen,71
Ilmajoki,80.1
Ilomantsi,64.7
Imatra,67.2
Inari,78.3
Ingå,80.4
Isojoki,77.5
Isokyrö,77.1
Janakkala,77.7
Joensuu,65.4
Jokioinen,77.5
Jomala,86.3
Joroinen,73.1
Joutsa,70.1
Juuka,64
Juupajoki,76.2
Juva,75
Jyväskylä,67.8
Jämijärvi,78.4
Jämsä,70.9
Järvenpää,77.5
Kaarina,80.8
Kaavi,63.4
Kajaani,71.5
Kalajoki,76.5
Kangasala,80
Kangasniemi,72
Kankaanpää,71.6
Kannonkoski,67.9
Kannus,77.3
Karijoki,73.3
Karkkila,75.1
Karstula,71.6
Karvia,76.1
Kaskinen,76
Kauhajoki,72.4
Kauhava,76.5
Kauniainen,77.4
Kaustinen,78.8
Keitele,73.9
Kemi,64.7
Kemijärvi,66.3
Keminmaa,76
Kimitoön,75.8
Kempele,78.7
Kerava,75.6
Keuruu,71.8
Kihniö,74.4
Kinnula,68.5
Kirkkonummi,79.5
Kitee,66.3
Kittilä,81.2
Kiuruvesi,71.8
Kivijärvi,67.1
Kokemäki,73
Kokkola,76
Kolari,79.6
Konnevesi,74.3
Kontiolahti,78.1
Korsnäs,77.4
Koski Tl,75.7
Kotka,68.1
Kouvola,71.1
Kristinestad,80.2
Kronoby,81.2
Kuhmo,69.4
Kuhmoinen,71.8
Kumlinge,86.1
Kuopio,71.4
Kuortane,79.5
Kurikka,75.6
Kustavi,76.2
Kuusamo,72.8
Kyyjärvi,74.4
Kärkölä,73.7
Kärsämäki,71.9
Kökar,75.2
Lahti,69.6
Laihia,80.3
Laitila,77.6
Lapinjärvi,75.7
Lapinlahti,72.8
Lappajärvi,73.5
Lappeenranta,68.5
Lapua,77.1
Laukaa,77
Lemi,77.1
Lemland,86.3
Lempäälä,80.7
Leppävirta,73.6
Lestijärvi,72.3
Lieksa,63.4
Lieto,82.5
Liminka,79.2
Liperi,74.7
Lohja,75.7
Loimaa,73.4
Loppi,78.7
Loviisa,75.1
Luhanka,71
Lumijoki,77.5
Lumparland,89.6
Larsmo,85.1
Luumäki,73.3
Malax,84.2
Mariehamn,77.8
Marttila,76.3
Masku,83
Merijärvi,77.4
Merikarvia,72.7
Miehikkälä,70.3
Mikkeli,72.6
Muhos,73.7
Multia,70.9
Muonio,78.3
Korsholm,86
Muurame,79.3
Mynämäki,78.7
Myrskylä,75.1
Mäntsälä,80.2
Mänttä-Vilppula,71.3
Mäntyharju,71.7
Naantali,78.6
Nakkila,75.3
Nivala,77
Nokia,78.5
Nousiainen,81.5
Nurmes,68.7
Nurmijärvi,80.7
Närpes,81
Orimattila,75.2
Oripää,75.4
Orivesi,75.2
Oulainen,73.4
Oulu,69.7
Outokumpu,64.2
