,"Workplace self-sufficiency, %"
WHOLE COUNTRY,100
Akaa,66.3
Alajärvi,99.5
Alavieska,72.8
Alavus,96.1
Asikkala,78.7
Askola,61.2
Aura,66.1
Brändö,70.9
Eckerö,61.3
Enonkoski,86.4
Enontekiö,86.6
Espoo,92.3
Eura,85.4
Eurajoki,97.5
Evijärvi,88.1
Finström,74.6
Forssa,124.3
Föglö,94.9
Geta,50.9
Haapajärvi,103.1
Haapavesi,104
Hailuoto,70.6
Halsua,87.3
Hamina,81.6
Hammarland,46.3
Hankasalmi,78.2
Hanko,109.9
Harjavalta,153.9
Hartola,94.2
Hattula,67.4
Hausjärvi,51.1
Heinola,97.7
Heinävesi,94.7
Helsinki,132.2
Hirvensalmi,70.8
Hollola,61.3
Huittinen,100.5
Humppila,58.5
Hyrynsalmi,80.2
Hyvinkää,95.2
Hämeenkyrö,66.5
Hämeenlinna,101.4
Ii,67.1
Iisalmi,110.7
Iitti,79.5
Ikaalinen,89.7
Ilmajoki,63
Ilomantsi,97.7
Imatra,99.6
Inari,98.3
Ingå,58.3
Isojoki,86.9
Isokyrö,77.1
Janakkala,71.1
Joensuu,113.7
Jokioinen,79.4
Jomala,85.6
Joroinen,74
Joutsa,90.7
Juuka,96.7
Juupajoki,93.8
Juva,82.7
Jyväskylä,106.1
Jämijärvi,66
Jämsä,97.4
Järvenpää,65.8
Kaarina,64.1
Kaavi,88.5
Kajaani,105.8
Kalajoki,92.6
Kangasala,58.9
Kangasniemi,87.9
Kankaanpää,109.8
Kannonkoski,89.7
Kannus,92.8
Karijoki,76
Karkkila,77.7
Karstula,99.2
Karvia,81.7
Kaskinen,99.1
Kauhajoki,103.2
Kauhava,101.1
Kauniainen,54.8
Kaustinen,86.9
Keitele,132.5
Kemi,119.1
Kemijärvi,94
Keminmaa,84.2
Kimitoön,84.5
Kempele,83.5
Kerava,71.2
Keuruu,98.4
Kihniö,83.7
Kinnula,83.9
Kirkkonummi,55.8
Kitee,99.8
Kittilä,113.4
Kiuruvesi,82.1
Kivijärvi,66.6
Kokemäki,84.1
Kokkola,105.5
Kolari,93.9
Konnevesi,81.5
Kontiolahti,58.5
Korsnäs,69.7
Koski Tl,103.3
Kotka,111.7
Kouvola,96.2
Kristinestad,93.9
Kronoby,79.2
Kuhmo,97.3
Kuhmoinen,84.6
Kumlinge,62.5
Kuopio,103
Kuortane,95.1
Kurikka,88.4
Kustavi,81.9
Kuusamo,102
Kyyjärvi,102.7
Kärkölä,92.1
Kärsämäki,109.2
Kökar,93.8
Lahti,105.9
Laihia,51.7
Laitila,99.1
Lapinjärvi,76.6
Lapinlahti,77.7
Lappajärvi,83.7
Lappeenranta,107.2
Lapua,77.6
Laukaa,70.2
Lemi,38.9
Lemland,35.8
Lempäälä,70.5
Leppävirta,80.4
Lestijärvi,100.8
Lieksa,100.5
Lieto,72.3
Liminka,61.4
Liperi,67.3
Lohja,79.7
Loimaa,103.2
Loppi,58.3
Loviisa,82.1
Luhanka,65.2
Lumijoki,61.8
Lumparland,59.1
Larsmo,48.3
Luumäki,70.6
Malax,71.8
Mariehamn,175.2
Marttila,58.5
Masku,53.3
Merijärvi,69.5
Merikarvia,89.9
Miehikkälä,71.1
Mikkeli,103.3
Muhos,73.1
Multia,105.5
Muonio,106.3
Korsholm,56.8
Muurame,61.7
Mynämäki,58.8
Myrskylä,66.7
Mäntsälä,65.7
Mänttä-Vilppula,107.7
Mäntyharju,98.3
Naantali,62.5
Nakkila,69.1
Nivala,93.9
Nokia,78.1
Nousiainen,43.3
Nurmes,100.3
Nurmijärvi,57.7
Närpes,107.2
Orimattila,71.7
Oripää,85.2
Orivesi,69
Oulainen,103.6
Oulu,104.5
Outokumpu,113.3
Padasjoki,77.8
Paimio,63.9
Paltamo,78.7
Pargas,79.4
Parikkala,78.9
Parkano,106.4
Pedersöre,86.5
Pelkosenniemi,115.9
Pello,99.4
Perho,96.6
Pertunmaa,95.4
Petäjävesi,53.8
Pieksämäki,102.4
Pielavesi,84.9
Jakobstad,136.8
Pihtipudas,92.3
Pirkkala,101.2
Polvijärvi,72.2
Pomarkku,73.3
Pori,102.7
Pornainen,41.8
Porvoo,91.6
Posio,87.9
Pudasjärvi,102.2
Pukkila,60
Punkalaidun,77.3
Puolanka,89.6
Puumala,79.1
Pyhtää,47.4
Pyhäjoki,70.3
Pyhäjärvi,91.9
Pyhäntä,134.6
Pyhäranta,47.5
Pälkäne,68.9
Pöytyä,73.2
Raahe,113.8
Raseborg,84.7
Raisio,98.2
Rantasalmi,85.2
Ranua,95.4
Rauma,102.3
Rautalampi,81.8
Rautavaara,93.4
Rautjärvi,91.9
Reisjärvi,92.9
Riihimäki,96.3
Ristijärvi,66.8
Rovaniemi,98.3
Ruokolahti,57.3
Ruovesi,94.6
Rusko,65.3
Rääkkylä,79.3
Saarijärvi,93.2
Salla,93.2
Salo,88.9
Saltvik,56.9
Sastamala,87.6
Sauvo,57.9
Savitaipale,80.3
Savonlinna,100.8
Savukoski,92.9
Seinäjoki,112
Sievi,119
Siikainen,81.6
Siikajoki,90.7
Siikalatva,93.9
Siilinjärvi,78.4
Simo,56.2
Sipoo,64.1
Siuntio,43.6
Sodankylä,105.9
Soini,99.6
Somero,83.7
Sonkajärvi,84.6
Sotkamo,105
Sottunga,53.5
Sulkava,90.5
Sund,43.2
Suomussalmi,86.8
Suonenjoki,94.1
Sysmä,86.5
Säkylä,121.6
Taipalsaari,42.2
Taivalkoski,91.7
Taivassalo,74
Tammela,68.9
Tampere,118.7
Tervo,71.1
Tervola,93.1
Teuva,87.2
Tohmajärvi,84.5
Toholampi,90.3
Toivakka,61.6
Tornio,102.2
Turku,121.8
Tuusniemi,81.2
Tuusula,71.9
Tyrnävä,54.4
Ulvila,73.5
Urjala,78.4
Utajärvi,84.8
Utsjoki,95.2
Uurainen,57
Nykarleby,98
Uusikaupunki,121.9
Vaala,97.5
Vaasa,124.8
Valkeakoski,80.8
Vantaa,107.8
Varkaus,112.1
Vehmaa,71.5
Vesanto,81.3
Vesilahti,44
Veteli,86
Vieremä,136.2
Vihti,59.1
Viitasaari,104.1
Vimpeli,91.3
Virolahti,98.2
Virrat,98.6
Vårdö,59.5
Vörå,86.4
Ylitornio,90.6
Ylivieska,108.9
Ylöjärvi,66.7
Ypäjä,59.5
Ähtäri,102
Äänekoski,108.5
MK01 Uusimaa,104.3
MK02 Southwest Finland,96.8
MK04 Satakunta,99.6
MK05 Kanta-Häme,90.1
MK06 Pirkanmaa,97
MK07 Päijät-Häme,94.4
MK08 Kymenlaakso,97.4
MK09 South Karelia,96.9
MK10 South Savo,99.2
MK11 North Savo,98.4
MK12 North Karelia,98.8
MK13 Central Finland,97.6
MK14 South Ostrobothnia,97.7
MK15 Ostrobothnia,101.5
MK16 Central Ostrobothnia,101.3
MK17 North Ostrobothnia,98.9
MK18 Kainuu,100.5
MK19 Lapland,99.9
MK21 Åland,107
HVA01 East Uusimaa wellbeing services county,80.7
HVA02 Central Uusimaa wellbeing services county,71
HVA03 West Uusimaa wellbeing services county,84
HVA04 Vantaa and Kerava wellbeing services county,103.1
HVA05 Southwest Finland wellbeing services county,96.8
HVA06 Satakunta wellbeing services county,99.6
HVA06 Kanta-Häme wellbeing services county,90.1
HVA08 Pirkanmaa wellbeing services county,97
HVA09 Päijät-Häme wellbeing services county,94.4
HVA10 Kymenlaakso wellbeing services county,97.4
