Observation station,Year,Month,Day,Time [Local time],Monthly precipitation [mm]
Vantaa Helsinki-Vantaa airport,2000,1,1,02:00,40.1
Vantaa Helsinki-Vantaa airport,2000,2,1,02:00,52.2
Vantaa Helsinki-Vantaa airport,2000,3,1,02:00,37.6
Vantaa Helsinki-Vantaa airport,2000,4,1,03:00,44.2
Vantaa Helsinki-Vantaa airport,2000,5,1,03:00,26.4
Vantaa Helsinki-Vantaa airport,2000,6,1,03:00,71.8
Vantaa Helsinki-Vantaa airport,2000,7,1,03:00,65.6
Vantaa Helsinki-Vantaa airport,2000,8,1,03:00,52.4
Vantaa Helsinki-Vantaa airport,2000,9,1,03:00,12.1
Vantaa Helsinki-Vantaa airport,2000,10,1,03:00,93.9
Vantaa Helsinki-Vantaa airport,2000,11,1,02:00,132.5
Vantaa Helsinki-Vantaa airport,2000,12,1,02:00,81.2
Vantaa Helsinki-Vantaa airport,2001,1,1,02:00,50.1
Vantaa Helsinki-Vantaa airport,2001,2,1,02:00,48.7
Vantaa Helsinki-Vantaa airport,2001,3,1,02:00,23.9
Vantaa Helsinki-Vantaa airport,2001,4,1,03:00,53.7
Vantaa Helsinki-Vantaa airport,2001,5,1,03:00,17.6
Vantaa Helsinki-Vantaa airport,2001,6,1,03:00,111.7
Vantaa Helsinki-Vantaa airport,2001,7,1,03:00,56.1
Vantaa Helsinki-Vantaa airport,2001,8,1,03:00,69.5
Vantaa Helsinki-Vantaa airport,2001,9,1,03:00,99.1
Vantaa Helsinki-Vantaa airport,2001,10,1,03:00,75.7
Vantaa Helsinki-Vantaa airport,2001,11,1,02:00,56.1
Vantaa Helsinki-Vantaa airport,2001,12,1,02:00,22.9
Vantaa Helsinki-Vantaa airport,2002,1,1,02:00,68.8
Vantaa Helsinki-Vantaa airport,2002,2,1,02:00,52.2
Vantaa Helsinki-Vantaa airport,2002,3,1,02:00,38.1
Vantaa Helsinki-Vantaa airport,2002,4,1,03:00,7.5
Vantaa Helsinki-Vantaa airport,2002,5,1,03:00,25.5
Vantaa Helsinki-Vantaa airport,2002,6,1,03:00,67.7
Vantaa Helsinki-Vantaa airport,2002,7,1,03:00,56.6
Vantaa Helsinki-Vantaa airport,2002,8,1,03:00,17.6
Vantaa Helsinki-Vantaa airport,2002,9,1,03:00,21.5
Vantaa Helsinki-Vantaa airport,2002,10,1,03:00,36.6
Vantaa Helsinki-Vantaa airport,2002,11,1,02:00,42.8
Vantaa Helsinki-Vantaa airport,2002,12,1,02:00,11.1
Vantaa Helsinki-Vantaa airport,2003,1,1,02:00,41.7
Vantaa Helsinki-Vantaa airport,2003,2,1,02:00,6.9
Vantaa Helsinki-Vantaa airport,2003,3,1,02:00,10.3
Vantaa Helsinki-Vantaa airport,2003,4,1,03:00,31.4
Vantaa Helsinki-Vantaa airport,2003,5,1,03:00,60.8
Vantaa Helsinki-Vantaa airport,2003,6,1,03:00,50.9
Vantaa Helsinki-Vantaa airport,2003,7,1,03:00,25
Vantaa Helsinki-Vantaa airport,2003,8,1,03:00,67.8
Vantaa Helsinki-Vantaa airport,2003,9,1,03:00,22
Vantaa Helsinki-Vantaa airport,2003,10,1,03:00,72.9
Vantaa Helsinki-Vantaa airport,2003,11,1,02:00,45.5
Vantaa Helsinki-Vantaa airport,2003,12,1,02:00,70.4
Vantaa Helsinki-Vantaa airport,2004,1,1,02:00,37.5
Vantaa Helsinki-Vantaa airport,2004,2,1,02:00,40.5
Vantaa Helsinki-Vantaa airport,2004,3,1,02:00,45.8
Vantaa Helsinki-Vantaa airport,2004,4,1,03:00,6.3
Vantaa Helsinki-Vantaa airport,2004,5,1,03:00,37.1
Vantaa Helsinki-Vantaa airport,2004,6,1,03:00,103.5
Vantaa Helsinki-Vantaa airport,2004,7,1,03:00,200.7
Vantaa Helsinki-Vantaa airport,2004,8,1,03:00,77.5
Vantaa Helsinki-Vantaa airport,2004,9,1,03:00,93
Vantaa Helsinki-Vantaa airport,2004,10,1,03:00,59.1
Vantaa Helsinki-Vantaa airport,2004,11,1,02:00,63.4
Vantaa Helsinki-Vantaa airport,2004,12,1,02:00,76.1
Vantaa Helsinki-Vantaa airport,2005,1,1,02:00,104.7
Vantaa Helsinki-Vantaa airport,2005,2,1,02:00,18.4
Vantaa Helsinki-Vantaa airport,2005,3,1,02:00,6.7
Vantaa Helsinki-Vantaa airport,2005,4,1,03:00,12.4
Vantaa Helsinki-Vantaa airport,2005,5,1,03:00,60.7
Vantaa Helsinki-Vantaa airport,2005,6,1,03:00,78.2
Vantaa Helsinki-Vantaa airport,2005,7,1,03:00,36.4
Vantaa Helsinki-Vantaa airport,2005,8,1,03:00,161.4
Vantaa Helsinki-Vantaa airport,2005,9,1,03:00,24.7
Vantaa Helsinki-Vantaa airport,2005,10,1,03:00,34.3
Vantaa Helsinki-Vantaa airport,2005,11,1,02:00,81.9
Vantaa Helsinki-Vantaa airport,2005,12,1,02:00,36.3
Vantaa Helsinki-Vantaa airport,2006,1,1,02:00,17.7
Vantaa Helsinki-Vantaa airport,2006,2,1,02:00,16.9
Vantaa Helsinki-Vantaa airport,2006,3,1,02:00,31.4
Vantaa Helsinki-Vantaa airport,2006,4,1,03:00,33.9
Vantaa Helsinki-Vantaa airport,2006,5,1,03:00,42.2
Vantaa Helsinki-Vantaa airport,2006,6,1,03:00,28
Vantaa Helsinki-Vantaa airport,2006,7,1,03:00,4.2
Vantaa Helsinki-Vantaa airport,2006,8,1,03:00,38
Vantaa Helsinki-Vantaa airport,2006,9,1,03:00,24.3
Vantaa Helsinki-Vantaa airport,2006,10,1,03:00,193
Vantaa Helsinki-Vantaa airport,2006,11,1,02:00,68.3
Vantaa Helsinki-Vantaa airport,2006,12,1,02:00,59.7
Vantaa Helsinki-Vantaa airport,2007,1,1,02:00,99.5
Vantaa Helsinki-Vantaa airport,2007,2,1,02:00,14.6
Vantaa Helsinki-Vantaa airport,2007,3,1,02:00,31.4
Vantaa Helsinki-Vantaa airport,2007,4,1,03:00,47.4
Vantaa Helsinki-Vantaa airport,2007,5,1,03:00,43.3
Vantaa Helsinki-Vantaa airport,2007,6,1,03:00,44.5
Vantaa Helsinki-Vantaa airport,2007,7,1,03:00,60.6
Vantaa Helsinki-Vantaa airport,2007,8,1,03:00,64.3
Vantaa Helsinki-Vantaa airport,2007,9,1,03:00,103.6
Vantaa Helsinki-Vantaa airport,2007,10,1,03:00,73.7
Vantaa Helsinki-Vantaa airport,2007,11,1,02:00,84
Vantaa Helsinki-Vantaa airport,2007,12,1,02:00,92.5
Vantaa Helsinki-Vantaa airport,2008,1,1,02:00,85.3
Vantaa Helsinki-Vantaa airport,2008,2,1,02:00,60
Vantaa Helsinki-Vantaa airport,2008,3,1,02:00,45.8
Vantaa Helsinki-Vantaa airport,2008,4,1,03:00,41.5
Vantaa Helsinki-Vantaa airport,2008,5,1,03:00,12.8
Vantaa Helsinki-Vantaa airport,2008,6,1,03:00,124.4
Vantaa Helsinki-Vantaa airport,2008,7,1,03:00,23.6
Vantaa Helsinki-Vantaa airport,2008,8,1,03:00,81.5
Vantaa Helsinki-Vantaa airport,2008,9,1,03:00,47.7
Vantaa Helsinki-Vantaa airport,2008,10,1,03:00,165.8
Vantaa Helsinki-Vantaa airport,2008,11,1,02:00,104.7
Vantaa Helsinki-Vantaa airport,2008,12,1,02:00,54.2
Vantaa Helsinki-Vantaa airport,2009,1,1,02:00,30
Vantaa Helsinki-Vantaa airport,2009,2,1,02:00,15.1
Vantaa Helsinki-Vantaa airport,2009,3,1,02:00,22.2
Vantaa Helsinki-Vantaa airport,2009,4,1,03:00,8.7
Vantaa Helsinki-Vantaa airport,2009,5,1,03:00,29.6
Vantaa Helsinki-Vantaa airport,2009,6,1,03:00,76.9
Vantaa Helsinki-Vantaa airport,2009,7,1,03:00,101.5
Vantaa Helsinki-Vantaa airport,2009,8,1,03:00,60
Vantaa Helsinki-Vantaa airport,2009,9,1,03:00,34.8
Vantaa Helsinki-Vantaa airport,2009,10,1,03:00,103.6
Vantaa Helsinki-Vantaa airport,2009,11,1,02:00,75.4
Vantaa Helsinki-Vantaa airport,2009,12,1,02:00,47.4
Vantaa Helsinki-Vantaa airport,2010,1,1,02:00,21.7
Vantaa Helsinki-Vantaa airport,2010,2,1,02:00,49.1
Vantaa Helsinki-Vantaa airport,2010,3,1,02:00,50.9
Vantaa Helsinki-Vantaa airport,2010,4,1,03:00,51.9
Vantaa Helsinki-Vantaa airport,2010,5,1,03:00,81.4
Vantaa Helsinki-Vantaa airport,2010,6,1,03:00,31.3
Vantaa Helsinki-Vantaa airport,2010,7,1,03:00,14.9
Vantaa Helsinki-Vantaa airport,2010,8,1,03:00,69.6
Vantaa Helsinki-Vantaa airport,2010,9,1,03:00,54.3
Vantaa Helsinki-Vantaa airport,2010,10,1,03:00,26.9
Vantaa Helsinki-Vantaa airport,2010,11,1,02:00,62.8
Vantaa Helsinki-Vantaa airport,2010,12,1,02:00,44.4
Vantaa Helsinki-Vantaa airport,2011,1,1,02:00,49.3
Vantaa Helsinki-Vantaa airport,2011,2,1,02:00,22
Vantaa Helsinki-Vantaa airport,2011,3,1,02:00,15.6
Vantaa Helsinki-Vantaa airport,2011,4,1,03:00,23.3
Vantaa Helsinki-Vantaa airport,2011,5,1,03:00,26.3
Vantaa Helsinki-Vantaa airport,2011,6,1,03:00,41.2
Vantaa Helsinki-Vantaa airport,2011,7,1,03:00,54.9
