COVID-19 cases in the infectious diseases registry,Number of cases,Number of tests,"Number of deaths temporally associated (30 d) with COVID-19, infectious diseases register"
Year 2020 Week 06,1,-,-
Year 2020 Week 07,0,-,-
Year 2020 Week 08,1,-,-
Year 2020 Week 09,7,415,-
Year 2020 Week 10,51,477,1
Year 2020 Week 11,351,"3,156",3
Year 2020 Week 12,571,"8,189",11
Year 2020 Week 13,684,"10,147",36
Year 2020 Week 14,"1,044","13,606",43
Year 2020 Week 15,841,"15,125",65
Year 2020 Week 16,817,"17,832",69
Year 2020 Week 17,717,"23,832",25
Year 2020 Week 18,635,"20,691",22
Year 2020 Week 19,575,"21,570",17
Year 2020 Week 20,349,"24,437",9
Year 2020 Week 21,222,"19,751",3
Year 2020 Week 22,136,"17,321",1
Year 2020 Week 23,92,"15,700",0
Year 2020 Week 24,60,"15,653",0
Year 2020 Week 25,40,"12,268",2
Year 2020 Week 26,65,"14,051",2
Year 2020 Week 27,38,"18,817",0
Year 2020 Week 28,36,"26,943",0
Year 2020 Week 29,49,"30,425",1
Year 2020 Week 30,56,"30,181",0
Year 2020 Week 31,107,"36,488",3
Year 2020 Week 32,150,"50,796",0
Year 2020 Week 33,187,"76,194",1
Year 2020 Week 34,182,"102,209",0
Year 2020 Week 35,186,"106,764",1
Year 2020 Week 36,232,"96,634",3
Year 2020 Week 37,369,"81,621",6
Year 2020 Week 38,532,"97,328",1
Year 2020 Week 39,724,"93,922",4
Year 2020 Week 40,"1,297","85,193",4
Year 2020 Week 41,"1,592","105,455",6
Year 2020 Week 42,"1,262","97,815",6
Year 2020 Week 43,"1,260","98,567",3
Year 2020 Week 44,"1,487","86,882",2
Year 2020 Week 45,"1,402","91,185",14
Year 2020 Week 46,"1,772","92,476",17
Year 2020 Week 47,"2,712","106,329",32
Year 2020 Week 48,"3,229","132,655",38
Year 2020 Week 49,"3,006","133,215",45
Year 2020 Week 50,"2,782","120,185",39
Year 2020 Week 51,"2,241","123,652",28
Year 2020 Week 52,"1,714","87,060",22
Year 2020 Week 53,"1,893","73,039",29
Year 2021 Week 01,"1,857","75,413",27
Year 2021 Week 02,"1,829","73,567",22
Year 2021 Week 03,"2,510","96,976",31
Year 2021 Week 04,"2,642","107,949",14
Year 2021 Week 05,"2,530","117,315",15
Year 2021 Week 06,"2,707","117,808",18
Year 2021 Week 07,"3,559","133,637",21
Year 2021 Week 08,"4,239","135,478",30
Year 2021 Week 09,"4,422","151,690",20
Year 2021 Week 10,"5,000","147,087",20
Year 2021 Week 11,"4,583","147,917",25
Year 2021 Week 12,"4,074","137,216",23
Year 2021 Week 13,"2,974","118,945",11
Year 2021 Week 14,"2,595","127,658",12
Year 2021 Week 15,"1,816","117,966",17
Year 2021 Week 16,"1,565","115,422",8
Year 2021 Week 17,"1,461","122,596",9
Year 2021 Week 18,"1,444","131,165",5
Year 2021 Week 19,"1,459","113,082",18
Year 2021 Week 20,"1,224","124,254",13
Year 2021 Week 21,851,"120,647",3
Year 2021 Week 22,715,"111,972",3
Year 2021 Week 23,513,"98,641",2
Year 2021 Week 24,562,"92,129",3
Year 2021 Week 25,"1,089","72,855",1
Year 2021 Week 26,"1,307","101,290",1
Year 2021 Week 27,"1,782","95,490",5
Year 2021 Week 28,"2,328","102,536",1
Year 2021 Week 29,"3,276","121,619",8
Year 2021 Week 30,"4,779","125,792",10
Year 2021 Week 31,"5,243","144,230",15
Year 2021 Week 32,"4,913","146,948",7
Year 2021 Week 33,"4,305","164,949",10
Year 2021 Week 34,"4,271","184,171",16
Year 2021 Week 35,"3,726","174,330",12
Year 2021 Week 36,"3,101","129,766",13
Year 2021 Week 37,"2,769","99,425",11
Year 2021 Week 38,"3,230","81,982",17
Year 2021 Week 39,"3,994","82,529",28
Year 2021 Week 40,"4,202","82,442",33
Year 2021 Week 41,"3,700","83,064",23
Year 2021 Week 42,"3,836","77,383",32
Year 2021 Week 43,"4,427","81,013",36
Year 2021 Week 44,"5,311","87,833",54
Year 2021 Week 45,"6,127","104,787",50
Year 2021 Week 46,"7,668","119,941",48
Year 2021 Week 47,"8,454","134,674",63
Year 2021 Week 48,"8,919","149,402",45
Year 2021 Week 49,"11,913","160,386",49
Year 2021 Week 50,"14,521","181,244",45
Year 2021 Week 51,"25,507","165,929",61
Year 2021 Week 52,"46,666","173,748",106
Year 2022 Week 01,"60,670","206,925",135
Year 2022 Week 02,"59,944","192,503",141
Year 2022 Week 03,"55,516","171,721",112
Year 2022 Week 04,"46,523","139,568",124
Year 2022 Week 05,"44,656","127,151",146
Year 2022 Week 06,"44,917","122,476",115
Year 2022 Week 07,"45,263","116,488",145
Year 2022 Week 08,"44,681","106,870",157
Year 2022 Week 09,"44,962","98,075",174
Year 2022 Week 10,"52,649","110,767",199
Year 2022 Week 11,"54,168","106,744",233
Year 2022 Week 12,"52,663","108,119",244
Year 2022 Week 13,"42,977","94,704",201
Year 2022 Week 14,"37,258","82,195",206
Year 2022 Week 15,"24,585","60,906",165
Year 2022 Week 16,"28,622","66,609",155
Year 2022 Week 17,"18,515","53,776",114
Year 2022 Week 18,"17,387","56,271",71
